source_row_number,source_sheet_name,Unnamed: 2,pinyin,MC (NWH),MC (B&S),GSR,漢語大字典,廣韻,Unnamed: 9,normalized_character,normalized_pinyin,normalized_mc_nwh,normalized_mc_bs,normalized_gsr,normalized_hanyu_dazidian,normalized_guangyun
105,Feuil1,施,shi1,śie,sye,0004l',32176.060,047.34 348.42,13,施,shi1,śie,sye,0004l',32176.060,047.34 348.42
106,Feuil1,施,shi1,yieH,yeH,0004l',32176.060,047.34 348.42,13,施,shi1,yieH,yeH,0004l',32176.060,047.34 348.42
107,Feuil1,鉈,shi1,śiae,syae,0004m,64191.030,047.38 169.02,13,鉈,shi1,śiae,syae,0004m,64191.030,047.38 169.02
108,Feuil1,葹,shi1,śie,sye,0004m',53254.100,047.35,6,葹,shi1,śie,sye,0004m',53254.100,047.35
109,Feuil1,匜,yi2,yie,ye,0004n,10082.060,041.38 244.25,13,匜,yi2,yie,ye,0004n,10082.060,041.38 244.25
110,Feuil1,椸,yi2,yie,ye,0004n',21254.150,,0,椸,yi2,yie,ye,0004n',21254.150,
111,Feuil1,訑,yi2,tha,tha,0004q,63944.020,,0,訑,yi2,tha,tha,0004q,63944.020,
112,Feuil1,訑,yi2,thwa,thwa,0004q,63944.020,,0,訑,yi2,thwa,thwa,0004q,63944.020,
113,Feuil1,訑,yi2,yie,ye,0004q,63944.020,,0,訑,yi2,yie,ye,0004q,63944.020,
114,Feuil1,迆,yi2,yie,ye,0004r,63817.080,041.33 244.24,13,迆,yi2,yie,ye,0004r,63817.080,041.33 244.24
115,Feuil1,酏,yi2,yie,ye,0004s,63575.010,041.37 244.23,13,酏,yi2,yie,ye,0004s,63575.010,041.37 244.23
116,Feuil1,池,chi2,ḍie,drje,0004t,31555.030,049.24 159.45,13,池,chi2,ḍie,drje,0004t,31555.030,049.24 159.45
117,Feuil1,竾,chi2,ḍie,drje,0004v,52949.050,,0,竾,chi2,ḍie,drje,0004v,52949.050,
118,Feuil1,馳,chi2,ḍie,drje,0004x,74542.070,049.22,6,馳,chi2,ḍie,drje,0004x,74542.070,049.22
119,Feuil1,杝,zhi4,ḍieX,drjeX,0004y,21163.010,041.20 244.12,13,杝,zhi4,ḍieX,drjeX,0004y,21163.010,041.20 244.12
120,Feuil1,杝,yi2,yie,ye,0004y,21163.010,041.20 244.12,13,杝,yi2,yie,ye,0004y,21163.010,041.20 244.12
