gsc_id,rhyme_section,series_number,schuessler_k_tokens,schuessler_source_page,schuessler_cross_reference_only,in_tex,tex_character_count,tex_characters_sample,mand2mc_row_count,mand2mc_character_count,mand2mc_characters_sample,bs_gsr_row_count,bs_gsr_character_count,bs_gsr_characters_sample,combined_source_character_count,combined_source_characters_sample
02-29,2,29,797,96,no,no,0,,2,2,席; 蓆,1,1,席,2,席; 蓆
02-30,2,30,777,96,no,yes,8,若; 諾; 箬; 鄀; 婼; 匿; 暱; 慝,8,8,若; 諾; 箬; 鄀; 婼; 匿; 暱; 慝,5,4,若; 匿; 暱; 慝,8,若; 諾; 箬; 鄀; 婼; 匿; 暱; 慝
02-31,2,31,806,96,no,no,0,,16,14,乍; 咋; 詐; 祚; 胙; 阼; 笮; 作; 迮; 柞,6,5,乍; 詐; 胙; 作; 昨,14,乍; 咋; 詐; 祚; 胙; 阼; 笮; 作; 迮; 柞
02-32,2,32,798,97,no,no,0,,26,20,昔; 籍; 藉; 簎; 惜; 腊; 耤; 踖; 趞; 鵲,12,9,昔; 籍; 藉; 惜; 鵲; 斮; 錯; 借; 措,20,昔; 籍; 藉; 簎; 惜; 腊; 耤; 踖; 趞; 鵲
02-33,2,33,770,97,no,no,0,,2,1,索,2,1,索,1,索
02-34,2,34,769,98,no,no,0,,4,4,朔; 愬; 𧪜; 遡,4,4,朔; 愬; 𧪜; 遡,4,朔; 愬; 𧪜; 遡
02-35,2,35,799,98,no,no,0,,4,4,舄; 潟; 寫; 瀉,6,4,舄; 潟; 寫; 瀉,4,舄; 潟; 寫; 瀉
02-36,2,36,773,98,no,no,0,,1,1,亳,0,0,,1,亳
02-37,2,37,781,98,no,no,0,,3,3,百; 貊; 陌,2,2,百; 陌,3,百; 貊; 陌
02-38,2,38,782,98,no,no,0,,14,12,白; 帛; 伯; 柏; 迫; 怕; 拍; 魄; 粕; 胉,8,8,白; 帛; 伯; 迫; 拍; 魄; 胉; 碧,12,白; 帛; 伯; 柏; 迫; 怕; 拍; 魄; 粕; 胉
02-39,2,39,772,98,no,no,0,,2,1,霸,2,1,霸,1,霸
02-40,2,40,802,99,no,no,0,,18,16,莫; 暮; 募; 墓; 嫫; 慕; 模; 膜; 謨; 蟆,9,8,莫; 募; 墓; 慕; 模; 謨; 幕; 冪,16,莫; 暮; 募; 墓; 嫫; 慕; 模; 膜; 謨; 蟆
03-01,3,1,698,100,no,no,0,,11,9,亢; 抗; 伉; 忼; 杭; 沆; 頏; 坑; 阬,4,4,航; 亢; 抗; 杭,10,亢; 抗; 伉; 忼; 杭; 沆; 頏; 坑; 阬; 航
03-02,3,2,697,100,no,no,0,,7,5,岡; 剛; 綱; 犅; 鋼,3,3,剛; 綱; 鋼,5,岡; 剛; 綱; 犅; 鋼
03-03,3,3,710,100,no,no,0,,9,6,畺; 壃; 僵; 薑; 彊; 疆,4,4,畺; 薑; 彊; 疆,6,畺; 壃; 僵; 薑; 彊; 疆
03-04,3,4,713,101,no,no,0,,6,4,强; 強; 繈; 襁,2,2,强; 強,4,强; 強; 繈; 襁
03-05,3,5,711,101,no,no,0,,1,1,姜,1,1,姜,1,姜
03-06,3,6,712,101,no,no,0,,2,2,羌; 蜣,2,1,羌,2,羌; 蜣
03-07,3,7,752,101,no,no,0,,5,4,竟; 境; 鏡; 滰,2,2,境; 鏡,4,竟; 境; 鏡; 滰
03-08,3,8,753,101,no,no,0,,1,1,慶,0,0,,1,慶
03-09,3,9,754,101,no,no,0,,1,1,競,1,1,競,1,競
03-10,3,10,755,101,no,no,0,,12,11,京; 景; 勍; 鯨; 黥; 憬; 倞; 亮; 掠; 涼,6,5,京; 景; 鯨; 涼; 諒,11,京; 景; 勍; 鯨; 黥; 憬; 倞; 亮; 掠; 涼
03-11,3,11,745,101,no,no,0,,7,5,更; 哽; 鯁; 梗; 綆,3,2,更; 梗,5,更; 哽; 鯁; 梗; 綆
03-12,3,12,746; 700,102,no,no,0,,12,11,庚; 賡; 康; 𡻚; 慷; 穅; 糠; 唐; 塘; 榶,6,4,庚; 康; 唐; 塘,11,庚; 賡; 康; 𡻚; 慷; 穅; 糠; 唐; 塘; 榶
03-13,3,13,747,102,no,no,0,,1,1,羹,1,1,羹,1,羹
03-14,3,14,748,102,no,no,0,,10,6,行; 荇; 桁; 珩; 衡; 蘅,6,4,行; 荇; 桁; 衡,6,行; 荇; 桁; 珩; 衡; 蘅
03-15,3,15,749,102,no,no,0,,1,1,杏,1,1,杏,1,杏
