character,in_tex,tex_entry_count,tex_entry_ids,tex_gsr_markers,tex_mc_forms,in_mand2mc,mand2mc_row_count,mand2mc_gsr_values,mand2mc_pinyin_values,mand2mc_mc_nwh_values,in_shengfu,shengfu_row_count,shengfu_phonetic_components,shengfu_component_levels,in_bs_gsr,bs_row_count,bs_gsr_values,bs_pinyin_values,bs_mc_values,bs_oc_values
㧖,no,0,,,,no,0,,,,yes,1,𠂘,1,no,0,,,,
㧗,no,0,,,,no,0,,,,yes,3,此,1,no,0,,,,
㧘,no,0,,,,yes,1,0358u,zi4,dẓea,yes,3,此,1,no,0,,,,
㧙,no,0,,,,yes,1,0405e,bi4,bit,yes,5,必,1,no,0,,,,
㧢,no,0,,,,no,0,,,,yes,1,因,1,no,0,,,,
㧬,no,0,,,,no,0,,,,yes,1,工,2,no,0,,,,
㧺,no,0,,,,no,0,,,,yes,1,沓,1,no,0,,,,
㧻,no,0,,,,yes,1,1218d,zhuo2,ṭaewk,no,0,,,no,0,,,,
㧾,no,0,,,,no,0,,,,yes,1,勿,1,no,0,,,,
㨄,no,0,,,,no,0,,,,yes,1,周,1,no,0,,,,
㨆,no,0,,,,no,0,,,,yes,2,林,1,no,0,,,,
㨉,no,0,,,,yes,1,0457t,min3,min,yes,1,昏,1,no,0,,,,
㨎,no,0,,,,yes,1,0238j,ruo4?,ñiwet,yes,1,需,2,no,0,,,,
㨐,no,0,,,,no,0,,,,yes,1,保,1,no,0,,,,
㨒,no,0,,,,no,0,,,,yes,1,圭,1,no,0,,,,
㨖,no,0,,,,no,0,,,,yes,2,至,1,no,0,,,,
㨜,no,0,,,,no,0,,,,yes,6,虔,1,no,0,,,,
㨡,no,0,,,,no,0,,,,yes,2,圂,1,no,0,,,,
㨨,no,0,,,,no,0,,,,yes,2,卯,2,no,0,,,,
㨭,no,0,,,,no,0,,,,yes,1,戶,1,no,0,,,,
㨷,no,0,,,,no,0,,,,yes,2,堇,1,no,0,,,,
㩉,no,0,,,,no,0,,,,yes,1,合,2,no,0,,,,
㩌,no,0,,,,no,0,,,,yes,3,弗,2,no,0,,,,
㩍,no,0,,,,no,0,,,,yes,1,朿,1,no,0,,,,
㩒,no,0,,,,no,0,,,,yes,1,林,1,no,0,,,,
㩓,no,0,,,,no,0,,,,yes,1,毀,1,no,0,,,,
㩖,no,0,,,,no,0,,,,yes,1,畺,1,no,0,,,,
㩘,no,0,,,,no,0,,,,yes,1,我,2,no,0,,,,
㩜,no,0,,,,no,0,,,,yes,1,監,1,no,0,,,,
㩧,no,0,,,,no,0,,,,yes,2,暴,1,no,0,,,,
㩴,no,0,,,,no,0,,,,yes,1,䀠,1,no,0,,,,
㩻,no,0,,,,no,0,,,,yes,2,支,1,no,0,,,,
㩼,no,0,,,,no,0,,,,yes,2,支,1,no,0,,,,
㪉,no,0,,,,no,0,,,,yes,1,合,1,no,0,,,,
㪋,no,0,,,,no,0,,,,yes,1,干,1,no,0,,,,
㪍,no,0,,,,no,0,,,,yes,1,孛,1,no,0,,,,
㪏,no,0,,,,no,0,,,,yes,2,卑,1,no,0,,,,
㪒,no,0,,,,no,0,,,,yes,2,兒,1,no,0,,,,
㪙,no,0,,,,no,0,,,,yes,1,果,1,no,0,,,,
㪣,no,0,,,,yes,2,1129s,qiao4,khaew; khaewH,no,0,,,no,0,,,,
㪤,no,0,,,,yes,1,0407e,bi4,pyit,yes,1,畢,1,no,0,,,,
㪵,no,0,,,,no,0,,,,yes,1,半,1,no,0,,,,
㪺,no,0,,,,no,0,,,,yes,1,䀠,1,no,0,,,,
㪻,no,0,,,,no,0,,,,yes,2,䜌,1,no,0,,,,
㫃,no,0,,,,yes,1,0254a,yan3,qiənX,yes,1,㫃,1,no,0,,,,
㫊,yes,1,18-01,0001a; 0001d; 0001e; 0001g; 0001i; 0001j; 0001k; 0001m; 0001n; 0001f; 0001o; 0001p; 0001q; 0001r; 0001s; 0001t; 0001u; 0001v; 0001x; 0001y; 0001z; 0001b; 0001c; 0001h,khaX; ka; kanX; kaX; ḫa; {\sil{ꞏ}}a; {\sil{ꞏ}}aX; {\sil{ꞏ}}ieX; ḫaX; gie; kie; gieX; ṅieX; kieH; kieX; khieX; khie; {\sil{ꞏ}}ie,yes,2,0001n,yi3,qaX; qieX,no,0,,,no,0,,,,
㫍,no,0,,,,no,0,,,,yes,1,攸,1,no,0,,,,
㫏,no,0,,,,no,0,,,,yes,1,要,1,no,0,,,,
㫐,no,0,,,,no,0,,,,yes,1,㫐,1,no,0,,,,
㫘,no,0,,,,no,0,,,,yes,1,不,1,no,0,,,,
㫱,no,0,,,,no,0,,,,yes,1,𡰫,1,no,0,,,,
㬆,no,0,,,,no,0,,,,yes,1,昏,1,no,0,,,,
㬇,no,0,,,,no,0,,,,yes,1,奐,1,no,0,,,,
㬎,no,0,,,,no,0,,,,yes,2,溼; 顯,1,no,0,,,,
㬣,no,0,,,,no,0,,,,yes,1,對,1,no,0,,,,
㬥,no,0,,,,no,0,,,,yes,1,暴,1,no,0,,,,
㬦,no,0,,,,no,0,,,,yes,1,蒦,1,no,0,,,,
㬧,no,0,,,,no,0,,,,yes,1,暴,1,no,0,,,,
㬫,no,0,,,,yes,1,0243d,yan4,qenH,yes,1,燕,1,no,0,,,,
㬮,no,0,,,,no,0,,,,yes,2,𦰩,1,no,0,,,,
㬰,no,0,,,,yes,1,0540a,yu2,gwiyH,no,0,,,yes,1,0540a,yú,gwijH,*gruj-s {*[g]ruj-s}
