source_page_number,source_line_number,character,pinyin,mc_bs,mc_analyzed,oc_bs,gloss,gsr_raw,normalized_gsr,unicode_utf16
102,39,感,gǎn,komX,(k- + -om B),*kˤəmʔ {*kˤ[ə]mʔ},move (emotionally) (v.t.),0671l,0671l,U+611F
102,41,箴,zhēn,tsyim,(tsy- + -im A),*t.kəm {*t.[k]əm},needle,0671n,0671n,U+7BB4
102,43,憾,hàn,homH,(h- + -om C),*N-kˤəmʔ-s {*N-kˤ[ə]mʔ-s},dissatisfied,0671p,0671p,U+61BE
103,1,臽,xiàn,heamH,(h- + -eam C),*gˤrom-s {*[g]ˤrom(ʔ)-s},small pit,0672a,0672a,U+81FD
103,3,陷,xiàn,heamH,(h- + -eam C),*ɢˤromʔ-s {*[ɢ]ˤromʔ-s},fall into a pit,0672c,0672c,U+9677
103,5,埳,kǎn,khomX,(kh- + -om B),*kʰˤomʔ {*[kʰ]ˤomʔ},pit (n.),0672e,0672e,U+57F3
103,7,欿,kǎn,khomX,(kh- + -om B),*kʰˤomʔ {*[kʰ]ˤomʔ},insufficient,0672f,0672f,U+6B3F
103,9,欿,kǎn,khomX,(kh- + -om B),*kʰˤomʔ {*[kʰ]ˤomʔ},despondent,0672f,0672f,U+6B3F
103,11,欿,kǎn,khomX,(kh- + -om B),*k-r̥ˤəmʔ,covet,0672f,0672f,U+6B3F
103,13,窞,dàn,domX,(d- + -om B),*lˤomʔ {*rˤomʔ} in 坎窞,khomX-domX hole or pit,0672i,0672i,U+7A9E
103,15,萏,dàn,domX,(d- + -om B),*rˤomʔ (in a binom),homX.domX lotus flower,0672j,0672j,U+840F
103,17,啗,dàn,damH,(d- + -am C),*m-rˤamʔ-s,"eat, swallow",0672k,0672k,U+5557
103,19,啗,dàn,damX,(d- + -am B),*m-rˤamʔ,eat,0672k,0672k,U+5557
103,21,諂,chǎn,trhjemX,(trh- + -jem B),*qʰromʔ,flatter (v.),0672l,0672l,U+8AC2
103,23,閻,yán,yem,(y- + -jem A),*ɢom {*[ɢ]om},gate over street or lane,0672m,0672m,U+95BB
103,25,壛,yán,yem,(y- + -jem A),*Cə.ɢam {*Cə.[ɢ]am},eaves,0672n,0672n,U+58DB
103,27,爓,yàn,yemH,(y- + -jem C),*ɢom-s {*[ɢ]om-s},brightness,0672o,0672o,U+7213
103,29,爓,xún,zim,(z- + -im A),*sə-ləm {*[sə-l][ə]m},sacrifice of boiled meat,0672o,0672o,U+7213
103,31,讇,chǎn,trhjemX,(trh- + -jem B),*qʰromʔ,to flatter,0672p,0672p,U+8B87
103,33,熊,xióng,hjuwng,(h- + -juwng A),*C.ɢʷəm {*C.[ɢ]ʷ(r)əm},bear (n.),0674a,0674a,U+718A
103,35,欱,hē,xop,(x- + -op D),*qʰˤəp {*qʰˤ[ə]p},"sip, drink",-675,-675,U+6B31
103,37,合,hé,hop,(h- + -op D),*m-kˤop,unite,0675a,0675a,U+5408
103,39,閤,gé,kop,(k- + -op D),*kˤop {*[k]ˤ[o]p},small gate,0675i,0675i,U+95A4
103,41,韐,gé,keap,(k- + -eap D),*kˤ<r>əp {*[k]ˤ<r>[ə]p},knee-cover,0675j,0675j,U+97D0
103,43,韐,gé,kop,(k- + -op D),*kˤəp {*[k]ˤ[ə]p},knee-cover,0675j,0675j,U+97D0
104,1,洽,qià,heap,(h- + -eap D),*ɢˤ<r>op {*[ɢ]ˤ<r>[o]p},accord with,0675m,0675m,U+6D3D
104,3,給,jǐ,kip,(k- + -ip D),*kəp {*[k](r)[ə]p},furnish,0675p,0675p,U+7D66
104,5,翕,xì,xip,(x- + -ip D),*qʰəp {*qʰ(r)[ə]p},"united, harmonious",0675q,0675q,U+7FD5
104,7,翕,xì,xip,(x- + -ip D),*qʰəp {*qʰ(r)[ə]p},draw in; inhale,0675q,0675q,U+7FD5
104,9,噏,xī,xip,(x- + -ip D),*qʰəp {*qʰ(r)[ə]p},"draw together (Laozi, one version)",0675r,0675r,U+564F
104,11,歙,xī,xip,(x- + -ip D),*qʰəp {*qʰ(r)[ə]p},contract (v.),0675s,0675s,U+6B59
104,13,答,dá,top,(t- + -op D),*tˤəp {*[t]ˤ[ə]p},answer,0676a,0676a,U+7B54
104,15,荅,dá,top,(t- + -op D),*tˤəp {*[t]ˤ[ə]p},small bean,0676b,0676b,U+8345
104,17,沓,tà,dop,(d- + -op D),*m-rˤəp,"join, unite",0677a,0677a,U+6C93
104,19,眔,tà,dop,(d- + -op D),*m-rˤəp,reach to; and,0678a,0678a,U+7714
104,21,遝,tà,dop,(d- + -op D),*m.rˤəp,reach to; and,0678e,0678e,U+905D
104,23,及,jí,gip,(g- + -ip D),*m-k-rəp {*[m-k-]rəp},reach,0681a,0681a,U+53CA
104,25,急,jí,kip,(k- + -ip D),*kəp {*[k](r)[ə]p},urgent,0681g,0681g,U+6025
104,27,吸,xī,xip,(x- + -ip D),*qʰəp {*qʰ(r)[ə]p},inhale,0681j,0681j,U+5438
104,29,邑,yì,'ip,('- + -ip D),*qəp {*q(r)[ə]p},"city, town",0683a,0683a,U+9091
104,31,挹,yì,'jip,('- + -jip D),*qip,to bow; suppress,0683g,0683g,U+6339
104,33,挹,yì,'jip,('- + -jip D),*qip,to ladle out,0683g,0683g,U+6339
104,35,挹,yì,'jip,('- + -jip D),*qip,suppress,0683g,0683g,U+6339
104,37,浥,yì,'ip,('- + -ip D),*q<r>ip,"moist, moisten",0683h,0683h,U+6D65
104,39,執,zhí,tsyip,(tsy- + -ip D),*tip {*[t]ip},seize,0685a,0685a,U+57F7
104,41,縶,zhí,trip,(tr- + -ip D),*t<r>ip,"rope, tether; bind",0685f,0685f,U+7E36
104,43,蟄,zhé,drip,(dr- + -ip D),*drip {*[d]rip},hibernate; cluster,0685g,0685g,U+87C4
105,1,慹,zhí,tsyip,(tsy- + -ip D),*t-nip (dial. > tsyip),"afraid, to fear",0685h,0685h,U+6179
105,3,摯,zhì,tsyijH,(tsy- + -ij C),*tip-s {*[t]ip-s},seize,0685k,0685k,U+646F
105,5,鷙,zhì,tsyijH,(tsy- + -ij C),*tip-s {*[t]ip-s},bird of prey,0685n,0685n,U+9DD9
105,7,墊,diàn,temH,(t- + -em C),*tˤim-s {*[t]ˤ[i]m-s},descend,0685o,0685o,U+588A
105,9,十,shí,dzyip,(dzy- + -ip D),*t.gəp {*t.[g]əp},ten,0686a,0686a,U+5341
105,11,什,shí,dzyip,(dzy- + -ip D),*t.gəp {*t.[g]əp},troop of ten men,0686e,0686e,U+4EC0
105,13,汁,zhī,tsyip,(tsy- + -ip D),*t.kəp {*[t.k][ə]p},juice,0686f,0686f,U+6C41
105,15,拾,shí,dzyip,(dzy- + -ip D),*dəp {*[d][ə]p},"pick up, gather",0687a,0687a,U+62FE
105,17,濈,jí,tsrip,(tsr- + -ip D),*s.q<r>ip {*s.q<r>[i]p},crowded together,0688f,0688f,U+6FC8
105,19,楫,jí,tsjep,(ts- + -jep D),*tsəp {*[ts]əp} V!,oar,0688h,0688h,U+696B
105,21,襲,xí,zip,(z- + -ip D),*sə-ləp {*sə-l[ə]p},repeat; additional robe,0689a,0689a,U+8972
105,23,襲,xí,zip,(z- + -ip D),*sə.ləp {*sə.l[ə]p},surprise attack,0689a,0689a,U+8972
105,25,集,jí,dzip,(dz- + -ip D),*dzəp {*(Cə.)[dz][ə]p},"gather, collect",0691a,0691a,U+96C6
105,27,雜,zá,dzop,(dz- + -op D),*dzˤəp {*[dz]ˤ[ə]p},mixed,0691d,0691d,U+96DC
105,29,濕,shī,syip,(sy- + -ip D),*qʰip {*[qʰ]ip},to flap (sc. the ears),0692a,0692a,U+6FD5
105,31,隰,xí,zip,(z- + -ip D),*s-N-qip,"low, wet ground",0692b,0692b,U+96B0
105,33,溼,shī,syip,(sy- + -ip D),*s-qʰip {*s-[qʰ][i]p},low wet ground,0693a,0693a,U+6EBC
105,35,立,lì,lip,(l- + -ip D),*k.rəp,stand (v.),0694a,0694a,U+7ACB
105,37,笠,lì,lip,(l- + -ip D),*k.rəp,bamboo-splint hat,0694e,0694e,U+7B20
105,39,粒,lì,lip,(l- + -ip D),*k.rəp,grains of rice,0694f,0694f,U+7C92
105,41,泣,qì,khip,(kh- + -ip D),*k-r̥əp,weep,0694h,0694h,U+6CE3
105,43,拉,là,lop,(l- + -op D),*rˤəp {*[r]ˤəp},break,0694l,0694l,U+62C9
106,1,入,rù,nyip,(ny- + -ip D),*nəp {*n[ə]p},enter,0695a,0695a,U+5165
106,3,內,nà,nop,(n- + -op D),*nˤəp {*nˤ[ə]p},bring or send in,0695e,0695e,U+5167
106,5,內,nèi,nwojH,(n- + -woj C),*nˤəp-s {*nˤ[ə]p-s},inside,0695e,0695e,U+5167
106,7,納,nà,nop,(n- + -op D),*nˤəp {*nˤ[ə]p},bring or send in,0695h,0695h,U+7D0D
106,9,訥,nè,nwot,(n- + -wot D),*nˤut,slow of speech,0695j,0695j,U+8A25
106,11,吶,nè,nywet,(ny- + -jwet D),*not,slow of speech,0695k,0695k,U+5436
106,13,焫,ruò,nywet,(ny- + -jwet D),*not,"hot, burning; to burn",0695r,0695r,U+712B
106,15,剛,gāng,kang,(k- + -ang A),*kˤaŋ,strong; hard,0697b,0697b,U+525B
106,17,綱,gāng,kang,(k- + -ang A),*kˤaŋ,guiding rope of net,0697e,0697e,U+7DB1
106,19,鋼,gāng,kang,(k- + -ang A),*s.kˤaŋ,cast iron; steel,0697h,0697h,U+92FC
106,21,航,háng,hang,(h- + -ang A),*N-gˤaŋ {*[N]-[g]ˤaŋ},boat; two boats tied together,698,698,U+822A
106,23,亢,gāng,kang,(k- + -ang A),*k.ŋˤaŋ,lift high,0698a,0698a,U+4EA2
106,25,抗,kàng,khangH,(kh- + -ang C),*kʰˤaŋ-s,set up; oppose; protect,0698b,0698b,U+6297
106,27,杭,háng,hang,(h- + -ang A),*N-gˤaŋ {*[N]-[g]ˤaŋ},to go by boat,0698e,0698e,U+676D
106,29,卬,áng,ngang,(ng- + -ang A),*ŋˤaŋ,high; lift high,0699a,0699a,U+536C
106,31,仰,yǎng,ngjangX,(ng- + -jang B),*ŋaŋʔ {*[ŋ]aŋʔ},"lift the face, look up",0699c,0699c,U+4EF0
106,33,迎,yíng,ngjaeng,(ng- + -jaeng A),*ŋraŋ,go to meet,0699d,0699d,U+8FCE
106,35,迎,yìng,ngjaengH,(ng- + -jaeng C),*ŋraŋ-s,go to meet,0699d,0699d,U+8FCE
106,37,唐,táng,dang,(d- + -ang A),*N-rˤaŋ {*[N-]rˤaŋ},exaggerate; great,0700a,0700a,U+5510
106,39,唐,tāng,thang,(th- + -ang A),*r̥ˤaŋ {*(kə)-r̥ˤaŋ},name of first Shang ruler,0700a,0700a,U+5510
106,41,塘,táng,dang,(d- + -ang A),*m.rˤaŋ ~ mə.rˤaŋ,"dam, dike",0700c,0700c,U+5858
106,43,葬,zàng,tsangH,(ts- + -ang C),*tsˤaŋ-s {*[ts]ˤaŋ-s},bury,0702a,0702a,U+846C
107,1,倉,cāng,tshang,(tsh- + -ang A),*[s.r̥]ˤaŋ,tshang-kaeng 'oriole',0703a,0703a,U+5009
107,3,倉,cāng,tshang,(tsh- + -ang A),*tsʰˤaŋ {*[tsʰ]ˤaŋ},granary,0703a,0703a,U+5009
107,5,凔,cāng,tshang,(tsh- + -ang A),*tsʰˤaŋ {*[tsʰ]ˤaŋ},cold,0703c,0703c,U+51D4
107,7,蒼,cāng,tshang,(tsh- + -ang A),*tsʰˤaŋ {*[tsʰ]ˤaŋ},deep blue or green,0703e,0703e,U+84BC
107,9,創,chuāng,tsrhjang,(tsrh- + -jang A),*tsʰraŋ {*[tsʰ]raŋ},wound (v.),0703l,0703l,U+5275
107,11,創,chuàng,tsrhjangH,(tsrh- + -jang C),*tsʰraŋ-s {*[tsʰ]raŋ-s},begin,0703l,0703l,U+5275
107,13,瘡,chuāng,tsrhjang,(tsrh- + -jang A),*tsʰraŋ {*[tsʰ]raŋ},"boil, tumor",0703n,0703n,U+7621
107,15,桑,sāng,sang,(s- + -ang A),*sˤaŋ {*[s]ˤaŋ},mulberry tree,0704a,0704a,U+6851
107,17,顙,sǎng,sangX,(s- + -ang B),*sˤaŋʔ {*[s]ˤaŋʔ},forehead,0704b,0704b,U+9859
107,19,喪,sāng,sang,(s- + -ang A),*s-mˤaŋ {*[s-m]ˤaŋ},"mourning, burial",0705a,0705a,U+55AA
107,21,喪,sàng,sangH,(s- + -ang C),*s-mˤaŋ-s,lose; destroy,0705a,0705a,U+55AA
107,23,光,guāng,kwang,(k- + -wang A),*kʷˤaŋ,"light, bright",0706a,0706a,U+5149
107,25,黃,huáng,hwang,(h- + -wang A),*N-kʷˤaŋ,yellow,0707a,0707a,U+9EC3
107,27,廣,guǎng,kwangH,(k- + -wang C),*kʷˤaŋʔ-s,distance from east to west,0707h,0707h,U+5EE3
107,29,廣,guǎng,kwangX,(k- + -wang B),*kʷˤaŋʔ,wide,0707h,0707h,U+5EE3
107,31,橫,héng,hwaeng,(h- + -waeng A),*C.gʷˤraŋ,crosswise; horizontal,0707m,0707m,U+6A6B
107,33,壙,kuàng,khwangH,(kh- + -wang C),*kʷʰˤaŋ-s,grave pit,0707n,0707n,U+58D9
107,35,曠,kuàng,khwangH,(kh- + -wang C),*kʷʰˤaŋ-s {*[k]ʷʰˤaŋ-s},bright,0707o,0707o,U+66E0
107,37,曠,kuàng,khwangH,(kh- + -wang C),*k-m̥ˤaŋ-s {*[k-m̥]ˤaŋ-s},"desolate, waste",0707o,0707o,U+66E0
107,39,纊,kuàng,khwangH,(kh- + -wang C),*kʷʰˤaŋ-s,fine floss silk; quilted,0707p,0707p,U+7E8A
107,41,擴,kuò,khwak,(kh- + -wak D),*kʷʰˤak,widen,0707t,0707t,U+64F4
107,43,皇,huáng,hwang,(h- + -wang A),*ɢʷˤaŋ {*[ɢ]ʷˤaŋ},yellow and white spotted,0708a,0708a,U+7687
108,1,皇,huáng,hwang,(h- + -wang A),*ɢʷˤaŋ {*[ɢ]ʷˤaŋ},sovereign,0708a,0708a,U+7687
108,3,徨,huáng,hwang,(h- + -wang A),*ɢʷˤaŋ {*[ɢ]ʷˤaŋ},bang-hwang hesitate,0708d,0708d,U+5FA8
108,5,煌,huáng,hwang,(h- + -wang A),*ɢʷˤaŋ {*[ɢ]ʷˤaŋ},brilliant,0708g,0708g,U+714C
108,7,隍,huáng,hwang,(h- + -wang A),*ɢʷˤaŋ {*[ɢ]ʷˤaŋ},moat,0708j,0708j,U+968D
108,9,蝗,huáng,hwang,(h- + -wang A),*ɢʷˤaŋ {*[ɢ]ʷˤaŋ},locust,0708m,0708m,U+8757
108,11,畺,jiāng,kjang,(k- + -jang A),*kaŋ,"boundary, limit",0710a,0710a,U+757A
108,13,薑,jiāng,kjang,(k- + -jang A),*kaŋ,ginger,0710d,0710d,U+8591
108,15,彊,qiáng,gjang,(g- + -jang A),*gaŋ {*[g]aŋ},strong,0710e,0710e,U+5F4A
108,17,疆,jiāng,kjang,(k- + -jang A),*kaŋ,boundary,0710h,0710h,U+7586
108,19,姜,jiāng,kjang,(k- + -jang A),*C.qaŋ,a family name,0711a,0711a,U+59DC
108,21,羌,qiāng,khjang,(kh- + -jang A),*C.qʰaŋ,western tribes,0712a,0712a,U+7F8C
108,23,羌,qiāng,khjang,(kh- + -jang A),*C.qʰaŋ,western tribes,0712a,0712a,U+7F8C
108,25,强,qiǎng,gjangX,(g- + -jang B),*m-kaŋʔ,by force,0713a,0713a,U+5F3A
108,27,強,qiáng,gjang,(g- + -jang A),*N-kaŋ,strong,0713b,0713b,U+5F37
108,29,皀,xiāng,xjang,(x- + -jang A),*qʰaŋ,fragrance,0714a,0714a,U+7680
108,31,鄉,xiāng,xjang,(x- + -jang A),*qʰaŋ,village; district,0714c,0714c,U+9109
108,33,鄉,xiàng,xjangH,(x- + -jang C),*qʰaŋ-s,to face,0714c,0714c,U+9109
108,35,鄉,xiǎng,xjangX,(x- + -jang B),*qʰaŋʔ,feast,0714c,0714c,U+9109
108,37,嚮,xiàng,xjangH,(x- + -jang C),*qʰaŋ-s,"to face, approach",0714i,0714i,U+56AE
108,39,饗,xiǎng,xjangX,(x- + -jang B),*qʰaŋʔ,feast,0714j,0714j,U+9957
108,41,曏,shàng,syangH,(sy- + -jang C),*n̥aŋ-s,a short time,0714k,0714k,U+66CF
108,43,曏,shǎng,syangX,(sy- + -jang B),*n̥aŋʔ,a short time,0714k,0714k,U+66CF
109,1,曏,xiàng,xjangH,(x- + -jang C),*n̥aŋʔ-s (W dial. *n̥- > *x-),a short time,0714k,0714k,U+66CF
109,3,曏,xiǎng,xjangX,(x- + -jang B),*n̥aŋʔ (W dial. *n̥- > *x-),a short time,0714k,0714k,U+66CF
109,5,膷,xiāng,xjang,(x- + -jang A),*qʰaŋ {*[qʰ]aŋ},beef soup,0714l,0714l,U+81B7
109,7,薌,xiāng,xjang,(x- + -jang A),*qʰaŋ,fragrance,0714m,0714m,U+858C
109,9,響,xiǎng,xjangX,(x- + -jang B),*qʰaŋʔ,echo,0714n,0714n,U+97FF
109,11,卿,qīng,khjaeng,(kh- + -jaeng A),*C.qʰraŋ,minister (v.),0714o,0714o,U+537F
109,13,餉,shàng,syangH,(sy- + -jang C),*n̥aŋ-s {*n̥aŋ(ʔ)-s},give food; food,0715e,0715e,U+9909
109,15,享,xiǎng,xaeng,(x- + -aeng A),*qʰˤraŋ {*[qʰ]ˤraŋ} (W dial.),penetrate,0716a,0716a,U+4EAB
109,17,享,xiǎng,xjangX,(x- + -jang B),*qʰaŋʔ {*[qʰ]aŋʔ},offer in sacrifice; food offering,0716a,0716a,U+4EAB
109,19,亨,pēng,phaeng,(ph- + -aeng A),*p.qʰˤraŋ {*[p.qʰ]ˤraŋ},(loan for) to boil,0716b,0716b,U+4EA8
109,21,亨,hēng,xaeng,(x- + -aeng A),*qʰˤraŋ {*[qʰ]ˤraŋ},penetrate,0716b,0716b,U+4EA8
109,23,亨,xiǎng,xjangX,(x- + -jang B),*qʰaŋʔ,sacrificial offering,0716b,0716b,U+4EA8
109,25,香,xiāng,xjang,(x- + -jang A),*qʰaŋ,fragrance,0717a,0717a,U+9999
109,27,央,yāng,'jang,('- + -jang A),*ʔaŋ,end (v.),0718a,0718a,U+592E
109,29,央,yāng,'jang,('- + -jang A),*ʔaŋ,center (n.),0718a,0718a,U+592E
109,31,殃,yāng,'jang,('- + -jang A),*ʔaŋ,calamity,0718e,0718e,U+6B83
109,33,鴦,yāng,'jang,('- + -jang A),*ʔaŋ,female mandarin duck,0718h,0718h,U+9D26
109,35,英,yīng,'jaeng,('- + -jaeng A),*ʔraŋ,"flower, blossom",0718k,0718k,U+82F1
109,37,鬯,chàng,trhjangH,(trh- + -jang C),*tʰraŋ-s,aromatic spirits,0719a,0719a,U+9B2F
109,39,昜,yáng,yang,(y- + -jang A),*laŋ,bright,0720a,0720a,U+661C
109,41,餳,táng,dang,(d- + -ang A),*C.lˤaŋ,sweets,0720c',0720c',U+9933
109,43,陽,yáng,yang,(y- + -jang A),*laŋ,bright,0720e,0720e,U+967D
110,1,愓,dàng,dangX,(d- + -ang B),*lˤaŋʔ,extravagant,0720e',0720e',U+6113
110,3,愓,shāng,syang,(sy- + -jang A),*l̥aŋ,move straight and rapidly,0720e',0720e',U+6113
110,5,碭,dàng,dangH,(d- + -ang C),*lˤaŋ-s,veined stone,0720f',0720f',U+78AD
110,7,揚,yáng,yang,(y- + -jang A),*laŋ,raise,0720j,0720j,U+63DA
110,9,傷,shāng,syang,(sy- + -jang A),*l̥aŋ,wound,0720j',0720j',U+50B7
110,11,觴,shāng,syang,(sy- + -jang A),*l̥aŋ,goblet,0720l',0720l',U+89F4
110,13,颺,yáng,yang,(y- + -jang A),*laŋ,tossed by the wind,0720p,0720p,U+98BA
110,15,蕩,dàng,dangH,(d- + -ang C),*lˤaŋ-s,"throw out, purify from",0720p',0720p',U+8569
110,17,楊,yáng,yang,(y- + -jang A),*laŋ,poplar,0720q,0720q,U+694A
110,19,瘍,yáng,yang,(y- + -jang A),*laŋ {*[l]aŋ},"sore, ulcer",0720s,0720s,U+760D
110,21,鍚,yáng,yang,(y- + -jang A),*laŋ,ornament on a horse's forehead,0720t,0720t,U+935A
110,23,場,cháng,drjang,(dr- + -jang A),*Cə.lraŋ,arena,0720x,0720x,U+5834
110,25,腸,cháng,drjang,(dr- + -jang A),*lraŋ,intestines,0720y,0720y,U+8178
110,27,湯,shāng,syang,(sy- + -jang A),*l̥aŋ,amply-flowing,0720z,0720z,U+6E6F
110,29,湯,tāng,thang,(th- + -ang A),*l̥ˤaŋ,hot liquid,0720z,0720z,U+6E6F
110,31,湯,tāng,thang,(th- + -ang A),*l̥ˤaŋ,(proper name:) founder of Shāng dynasty,0720z,0720z,U+6E6F
110,33,長,cháng,drjang,(dr- + -jang A),*Cə-N-traŋ {*Cə-[N]-traŋ},long (adj.),0721a,0721a,U+9577
110,35,長,zhǎng,trjangX,(tr- + -jang B),*traŋʔ,grow; elder,0721a,0721a,U+9577
110,37,帳,zhàng,trjangH,(tr- + -jang C),*traŋ-s,curtain,0721g,0721g,U+5E33
110,39,張,zhāng,trjang,(tr- + -jang A),*C.traŋ,draw a bow,0721h,0721h,U+5F35
110,41,悵,chàng,trhjangH,(trh- + -jang C),*tʰraŋ-s,disappointed,0721l,0721l,U+60B5
110,43,丈,zhàng,drjangX,(dr- + -jang B),*draŋʔ {*[d]raŋʔ},ten feet,0722a,0722a,U+4E08
111,1,章,zhāng,tsyang,(tsy- + -jang A),*taŋ,brilliant; distinctive mark; to display,0723a,0723a,U+7AE0
111,3,獐,zhāng,tsyang,(tsy- + -jang A),*taŋ,fallow-deer,0723g,0723g,U+7350
111,5,倡,chàng,tsyhangH,(tsyh- + -jang C),*tʰaŋ-s,to lead (in singing),0724c,0724c,U+5021
111,7,唱,chàng,tsyhangH,(tsyh- + -jang C),*mə-tʰaŋ-s,to lead (in singing),0724d,0724d,U+5531
111,9,尚,shàng,dzyangH,(dzy- + -jang C),*daŋ-s {*[d]aŋ-s},upwards,0725a,0725a,U+5C1A
111,11,尚,shàng,dzyangH,(dzy- + -jang C),*daŋ-s {*[d]aŋ-s},"still, yet",0725a,0725a,U+5C1A
111,13,攩,tǎng,thangX,(th- + -ang B),*tʰˤaŋʔ,beat,0725a',0725a',U+6529
111,15,裳,cháng,dzyang,(dzy- + -jang A),*daŋ,lower garment,0725d,0725d,U+88F3
111,17,常,cháng,dzyang,(dzy- + -jang A),*daŋ {*[d]aŋ},constant,0725e,0725e,U+5E38
111,19,鏜,tāng,thang,(th- + -ang A),*tʰˤaŋ,sound of drum,0725e',0725e',U+93DC
111,21,嘗,cháng,dzyang,(dzy- + -jang A),*Cə.daŋ,taste (v.),0725f,0725f,U+5617
111,23,瞠,chēng,trhaeng,(trh- + -aeng A),*tʰˤraŋ,"look straight at, stare",0725f',0725f',U+77A0
111,25,掌,zhǎng,tsyangX,(tsy- + -jang B),*k.taŋʔ {*[k.t]aŋʔ},palm of the hand,0725j,0725j,U+638C
111,27,惝,chǎng,tsyhangX,(tsyh- + -jang B),*tʰaŋʔ,despondent; scared,0725l,0725l,U+60DD
111,29,敞,chǎng,tsyhangX,(tsyh- + -jang B),*tʰaŋʔ,"open, spacious",0725m,0725m,U+655E
111,31,賞,shǎng,syangX,(sy- + -jang B),*s-taŋʔ,reward (v.),0725n,0725n,U+8CDE
111,33,當,dāng,tang,(t- + -ang A),*tˤaŋ,match (v.),0725q,0725q,U+7576
111,35,當,dàng,tangH,(t- + -ang C),*tˤaŋ-s,suitable,0725q,0725q,U+7576
111,37,黨,dǎng,tangX,(t- + -ang B),*tˤaŋʔ,500 families; relatives,0725r,0725r,U+9EE8
111,39,堂,táng,dang,(d- + -ang A),*dˤaŋ {*(Cə.)[d]ˤaŋ},hall,0725s,0725s,U+5802
111,41,棠,táng,dang,(d- + -ang A),*dˤaŋ {*[d]ˤaŋ},a kind of pear tree (Pyrus),0725t,0725t,U+68E0
111,43,𣥺,chéng,draeng,(dr- + -aeng A),*m-tˤ<r>aŋ,serve as support for,0725u,0725u,U+2397A
112,1,儻,tǎng,thangX,(th- + -ang B),*tʰˤaŋʔ,"easy-going, careless",0725z,0725z,U+513B
112,3,上,shàng,dzyangH,(dzy- + -jang C),*daŋʔ-s {*[d]aŋʔ-s},"top, above (n.)",0726a,0726a,U+4E0A
112,5,上,shàng,dzyangX,(dzy- + -jang B),*Cə.daŋʔ {*Cə.[d]aŋʔ},ascend,0726a,0726a,U+4E0A
112,7,上,shàng,dzyangX,(dzy- + -jang B),*m-daŋʔ {*m-[d]aŋʔ},to put up,0726a,0726a,U+4E0A
112,9,將,jiāng,tsjang,(ts- + -jang A),*tsaŋ {*[ts]aŋ},bring,0727f,0727f,U+5C07
112,11,將,jiàng,tsjangH,(ts- + -jang C),*tsaŋ-s {*[ts]aŋ-s},lead (v.); leader,0727f,0727f,U+5C07
112,13,臧,zāng,tsang,(ts- + -ang A),*tsˤaŋ {*[ts]ˤaŋ},good,0727f',0727f',U+81E7
112,15,藏,cáng,dzang,(dz- + -ang A),*m-tsʰˤaŋ,store (v.),0727g',0727g',U+85CF
112,17,藏,zàng,dzangH,(dz- + -ang C),*dzˤaŋ-s {*[dz]ˤaŋ-s},"store, repository (n.)",0727g',0727g',U+85CF
112,19,贓,zāng,tsang,(ts- + -ang A),*tsˤaŋ {*[ts]ˤaŋ},stolen goods,0727h',0727h',U+8D13
112,21,壯,zhuàng,tsrjangH,(tsr- + -jang C),*ts<r>aŋ-s {*[ts]<r>aŋ-s},robust,0727n,0727n,U+58EF
112,23,妝,zhuāng,tsrjang,(tsr- + -jang A),*tsraŋ {*[ts]raŋ},adorn (SW),0727o,0727o,U+599D
112,25,莊,zhuāng,tsrjang,(tsr- + -jang A),*tsraŋ {*[ts]raŋ},"dignified, grave",0727q,0727q,U+838A
112,27,牀,chuáng,dzrjang,(dzr- + -jang A),*k.dzraŋ,bed,0727r,0727r,U+7240
112,29,狀,zhuàng,dzrjangH,(dzr- + -jang C),*dzraŋ-s {*[dz]raŋ-s},"form, appearance",0727s,0727s,U+72C0
112,31,奬,jiǎng,tsjangX,(ts- + -jang B),*tsaŋʔ {*[ts]aŋʔ},help; encourage,0727u,0727u,U+596C
112,33,漿,jiāng,tsjang,(ts- + -jang A),*tsaŋ {*[ts]aŋ},drink (n.),0727v,0727v,U+6F3F
112,35,醬,jiàng,tsjangH,(ts- + -jang C),*tsaŋ-s {*[ts]aŋ-s},sauce,0727y,0727y,U+91AC
112,37,象,xiàng,zjangX,(z- + -jang B),*s-daŋʔ {*s-[d]aŋʔ},elephant,0728a,0728a,U+8C61
112,39,匠,jiàng,dzjangH,(dz- + -jang C),*S.baŋ-s {*S.[b]aŋ-s},craftsman,0729a,0729a,U+5320
112,41,襄,xiāng,sjang,(s- + -jang A),*s-naŋ,remove,0730a,0730a,U+8944
112,43,襄,xiāng,sjang,(s- + -jang A),*s-naŋ,Xiāng (personal name),0730a,0730a,U+8944
113,1,纕,xiāng,sjang,(s- + -jang A),*s-naŋ,"belt, sash; girth",0730b,0730b,U+7E95
113,3,饟,xiǎng,syang,(sy- + -jang A),*n̥aŋ,bring food to,0730c,0730c,U+995F
113,5,饟,xiǎng,syangH,(sy- + -jang C),*n̥aŋ-s {*n̥aŋ(ʔ)-s},bring food to (workers in the field),0730c,0730c,U+995F
113,7,饟,xiǎng,syangX,(sy- + -jang B),*n̥aŋʔ,bring food to (workers in the field),0730c,0730c,U+995F
113,9,壤,rǎng,nyangX,(ny- + -jang B),*naŋʔ,cultivated soil,0730d,0730d,U+58E4
113,11,攘,ráng,nyang,(ny- + -jang A),*naŋ,"oppose, disturb",0730e,0730e,U+6518
