source_page_number,source_line_number,character,pinyin,mc_bs,mc_analyzed,oc_bs,gloss,gsr_raw,normalized_gsr,unicode_utf16
9,11,危,wēi,ngjwe,(ng- + -jwe A),*ŋoj {*[ŋ](r)[o]j},in danger,0029a,0029a,U+5371
9,13,詭,guǐ,kjweX,(k- + -jwe B),*kojʔ {*[k](r)ojʔ},perverse,0029b,0029b,U+8A6D
9,15,跪,guì,gjweX,(g- + -jwe B),*Cə.gojʔ {*[Cə.g](r)ojʔ},kneel; foot,0029f,0029f,U+8DEA
9,17,吹,chuī,tsyhwe,(tsyh- + -jwe A),*tʰoj,blow (v.),0030a,0030a,U+5439
9,19,吹,chuì,tsyhweH,(tsyh- + -jwe C),*tʰoj-s,musical concert,0030a,0030a,U+5439
9,21,垂,chuí,dzywe,(dzy- + -jwe A),*doj {*[d]oj},hang down,0031a,0031a,U+5782
9,23,捶,chuí,tsyweX,(tsy- + -jwe B),*tojʔ,to beat,0031i,0031i,U+6376
9,25,家,jiā,kae,(k- + -ae A),*kˤra,household,0032a,0032a,U+5BB6
9,27,嫁,jià,kaeH,(k- + -ae C),*s.kˤra-s,marry,0032e,0032e,U+5AC1
9,29,稼,jià,kaeH,(k- + -ae C),*kˤra-s,grain; sow (v.),0032f,0032f,U+7A3C
9,31,叚,jiǎ,kaeX,(k- + -ae B),*kˤraʔ,borrow#borrow,0033a,0033a,U+53DA
9,33,假,jiǎ,kaeX,(k- + -ae B),*Cə.kˤraʔ,borrow; false,0033c,0033c,U+5047
9,35,假,jiǎ,kaeX,(k- + -ae B),*kˤraʔ,great,0033c,0033c,U+5047
9,37,豭,jiā,kae,(k- + -ae A),*kˤra,boar,0033f,0033f,U+8C6D
9,39,暇,xià,haeH,(h- + -ae C),*gˤra-s {*[g]ˤra-s},leisure,0033g,0033g,U+6687
9,41,瑕,xiá,hae,(h- + -ae A),*gˤra {*[g]ˤra},"flaw, blemish",0033h,0033h,U+7455
9,43,蝦,há,hae,(h- + -ae A),*gˤra {*[g]ˤra},hae-mae frog,0033i,0033i,U+8766
10,1,遐,xiá,hae,(h- + -ae A),*gˤra {*[g]ˤra},distant,0033j,0033j,U+9050
10,3,騢,xiá,hae,(h- + -ae A),*gˤra {*[g]ˤra},horse of mixed red and white color,0033l,0033l,U+9A22
10,5,斝,jiǎ,kaeX,(k- + -ae B),*kˤraʔ {*[k]ˤraʔ},a kind of ritual vessel,0034a,0034a,U+659D
10,7,下,xià,haeH,(h- + -ae C),*m-gˤraʔ-s,descend,0035a,0035a,U+4E0B
10,9,下,xià,haeX,(h- + -ae B),*gˤraʔ,down,0035a,0035a,U+4E0B
10,11,芐,xià,haeH,(h- + -ae C),*gˤra-s {*[g]ˤra()-s},"rush, sedge",0035d,0035d,U+8290
10,13,夏,xià,haeH,(h- + -ae C),*gˤraʔ {*[g]ˤraʔ} ~ [g]ˤraʔ-s,summer,0036a,0036a,U+590F
10,15,夏,xià,haeX,(h- + -ae B),*ɢˤraʔ {*[ɢ]ˤraʔ},great,0036a,0036a,U+590F
10,17,廈,xià,haeX,(h- + -ae B),*gˤraʔ {*[g]ˤraʔ},"house, room",0036c,0036c,U+5EC8
10,19,厦,xià,haeX,(h- + -ae B),*gˤraʔ {*[g]ˤraʔ},"house, room",0036d,0036d,U+53A6
10,21,牙,yá,ngae,(ng- + -ae A),*m-ɢˤ<r>a,tooth,0037a,0037a,U+7259
10,23,庌,yǎ,ngaeX,(ng- + -ae B),*N-qʰˤraʔ {*[N]-qʰˤraʔ},covered galleries,0037c,0037c,U+5E8C
10,25,芽,yá,ngae,(ng- + -ae A),*m-ɢˤra {*m-[ɢ]ˤra},"shoot, sprout",0037d,0037d,U+82BD
10,27,迓,yà,ngaeH,(ng- + -ae C),*ŋˤrak-s {*[ŋ]ˤrak-s},meet,0037f,0037f,U+8FD3
10,29,雅,yǎ,ngaeX,(ng- + -ae B),*N-ɢˤraʔ {*[N-ɢ]ˤraʔ},kind of musical instrument,0037g,0037g,U+96C5
10,31,雅,yǎ,ngaeX,(ng- + -ae B),*ŋˤraʔ {*N-ɢˤraʔ},"proper, refined",0037g,0037g,U+96C5
10,33,鴉,yā,'ae,('- + -ae A),*qˤra,"raven, crow",0037h,0037h,U+9D09
10,35,襾,yà,xaeX,(x- + -ae B),*qʰˤraʔ,cover,0038a,0038a,U+897E
10,37,賈,jià,kaeH,(k- + -ae C),*C.qˤ<r>aʔ-s,price,0038b,0038b,U+8CC8
10,39,賈,gǔ,kuX,(k- + -u B),*C.qˤaʔ,merchant; do business,0038b,0038b,U+8CC8
10,41,價,jià,kaeH,(k- + -ae C),*C.qˤ<r>aʔ-s,price,0038c,0038c,U+50F9
10,43,巴,bā,pae,(p- + -ae A),*pˤra,snake,0039a,0039a,U+5DF4
11,1,巴,bā,pae,(p- + -ae A),*pˤra,[place name],0039a,0039a,U+5DF4
11,3,把,bǎ,paeX,(p- + -ae B),*pˤraʔ,grasp (v.),0039b,0039b,U+628A
11,5,豝,bā,pae,(p- + -ae A),*pˤra,"sow, pig",0039d,0039d,U+8C5D
11,7,耙,pá,bae,(b- + -ae A),*bˤra {*[b]ˤra},rake (n.),0039e,0039e,U+8019
11,9,馬,mǎ,maeX,(m- + -ae B),*mˤraʔ,horse,0040a,0040a,U+99AC
11,11,罵,mà,maeH,(m- + -ae C),*C.mˤra-s,"scold, revile",0040h,0040h,U+7F75
